7 54 58.3,29 41.9 54
7 55 37.01,25 42.65 39
7 58 28.1,37 47.2 12
7 59 16.01,27 8.96 57.6
8 0 53.81,39 24.64 38.4
8 1 33.5,14 14.72 43.2
8 4 25.01,60 40.13 7.8
8 4 48,10 15.4 24
8 7 57.5,4 32.59 35.4
8 8 53.59,-10 27.67 40.2
8 15 22.9,1 55 0
8 15 25.9,36 35.25 15
8 23 24.7,22 23.05 3
8 25 38.59,61 57.49 29.4
8 26 1.01,69 20.62 37.2
8 27 25.39,29 18.75 45
8 29 4.8,17 54.26 15.6
8 30 53.4,19 13.27 16.2
8 31 48.89,4 29.65 39
8 32 19.61,27 52.76 45.6
8 32 23.21,49 13.35 21
8 34 54.89,55 34.35 21
8 37 22.39,58 25.03 1.8
8 37 44.9,65 13.58 34.8
8 39 6.41,57 54.28 16.8
8 39 6.91,19 21.82 49.2
8 39 15.79,28 50.65 39
8 40 2.3,29 49.05 3
8 40 47.59,13 12.4 24
8 41 13.1,32 24.98 58.8
8 41 24.29,70 53.7 42
8 42 5.11,18 35.68 40.8
8 43 12.41,61 29.74 44.4
8 47 53.69,53 52.61 36.6
8 47 58.99,31 47.14 8.4
8 53 8.59,13 52.91 54.6
8 54 42,57 57.5 30
8 58 41.5,14 9.73 43.8
9 2 16.8,-14 15.52 31.2
9 3 4.01,46 51.07 4.2
9 3 53.09,67 57.38 22.8
9 5 30.1,34 7.95 57
9 6 31.9,16 46.2 12
9 8 2.21,-9 59.62 37.2
9 8 35.81,41 50.77 46.2
9 9 29.71,-9 22.82 49.2
9 9 33.5,42 53.77 46.2
9 10 35.9,-10 34.95 57
9 11 53.21,37 24.22 13.2
9 12 35.3,16 0.05 3
9 12 40.49,16 0.32 19.2
9 13 45.5,40 56.47 28.2
9 15 8.81,20 56.12 7.2
9 16 47.69,38 18.1 6
9 18 5.71,-12 5.74 44.4
9 18 58.7,31 51.43 25.8
9 21 8.59,45 38.95 57
9 21 36.19,62 15.86 51.6
9 22 43.8,21 36.73 43.8
9 23 47.9,31 7.9 54
9 25 10.49,41 46.76 45.6
9 27 3,39 2.35 21
9 30 51.19,58 23.38 22.8
9 38 36,-4 20.1 6
9 41 4.01,38 53.85 51
9 44 42.31,25 54.71 42.6
9 44 52.1,52 2.57 34.2
9 56 49.9,25 15.26 15.6
9 58 2.09,44 6.11 6.6
9 58 47.21,65 33.92 55.2
9 58 55.61,42 37.03 1.8
10 0 17.69,0 0 0
10 1 20.71,55 53.93 55.8
10 1 49.51,28 47.15 9
10 3 42.19,26 5.21 12.6
10 4 45.7,22 25.31 18.6
10 6 1.7,34 54.17 10.2
10 6 51.91,14 22.42 25.2
10 7 26.09,12 48.94 56.4
10 7 57.1,28 1.8 48
10 7 60,7 30.26 15.6
10 10 27.5,41 32.65 39
10 13 3,28 29.18 10.8
10 13 47.3,41 49.15 9
10 13 49.61,34 45.85 51
10 14 14.81,74 37.61 36.6
10 14 46.99,23 1.28 16.8
10 15 4.1,49 26.02 1.2
10 18 10.99,35 42.65 39
10 21 6,45 23.53 31.8
10 23 11.5,39 48.25 15
10 24 44.81,19 12.34 20.4
10 26 31.9,6 27.55 33
10 26 59.11,41 39.6 36
10 30 59.11,31 2.93 55.8
10 32 58.9,56 44.89 53.4
10 34 8.59,60 1.87 52.2
10 35 11.59,34 6.41 24.6
10 36 5.81,0 0 0
10 36 19.9,45 51.5 30
10 38 17.9,48 25.76 45.6
10 38 38.81,49 47.62 37.2
10 39 56.9,42 25.63 37.8
10 41 46.8,52 33.47 28.2
10 42 44.59,12 3.52 31.2
10 43 18.41,31 31.03 1.8
10 58 17.9,19 51.85 51
10 58 29.59,1 33.98 58.8
11 1 48.79,72 25.61 36.6
11 3 26.21,34 49.78 46.8
11 3 31.49,-32 51.28 16.8
11 4 13.7,76 58.97 58.2
11 4 27.31,38 12.53 31.8
11 5 22.8,30 9.7 42
11 6 31.8,0 0 0
11 7 15,16 28.03 1.8
11 9 57.6,-37 32.35 21
11 10 36.31,48 17.87 52.2
11 11 25.2,26 57.82 49.2
11 11 39.7,40 50.4 24
11 16 14.5,-18 6.37 22.2
11 16 34.61,29 15.28 16.8
11 18 59.4,27 54.11 6.6
11 20 23.21,54 4.45 27
11 21 18.7,0 0 0
11 22 54.29,1 6.86 51.6
11 24 43.7,38 45.77 46.2
11 28 31.01,37 28.91 54.6
11 33 5.11,-4 0.8 48
11 33 59.21,49 3.71 42.6
11 34 46.49,48 57.37 22.2
11 39 10.7,-13 50.74 44.4
11 39 57,65 47.81 48.6
11 40 16.9,17 43.69 41.4
11 40 48.29,-26 29.15 9
11 43 51.1,35 8.38 22.8
11 45 4.99,19 36.38 22.8
11 45 21.31,4 55.45 27
11 47 22.1,35 1.13 7.8
11 48 50.3,59 24.94 56.4
11 53 12.5,80 58.48 28.8
11 53 24.41,49 31.15 9
11 58 20.11,26 21.2 12
11 59 31.8,29 14.74 44.4
12 0 55.99,11 57.3 18
12 2 3.79,58 2.15 9
12 3 36.7,27 56.65 39
12 4 1.49,20 13.93 55.8
12 6 19.9,4 6.19 11.4
12 9 13.61,43 39.35 21
12 10 32.59,39 24.35 21
12 11 58.7,74 19.07 4.2
